# Genepanel: HBOCogLYNCH Version: v01 Date: 2016-05-27
gene symbol	phenotype	inheritance	omim_number	pmid	inheritance info	comment
BRCA1	{Breast-ovarian cancer, familial, 1}	AD	604370			
BRCA2	{Breast-ovarian cancer, familial, 2}	AD	612555			
MLH1	Colorectal cancer, hereditary nonpolyposis, type 2	AD	609310			
MSH2	Colorectal cancer, hereditary nonpolyposis, type 1	AD	120435			
MSH6	Colorectal cancer, hereditary nonpolyposis, type 5	AD	614350			
PMS2	Colorectal cancer, hereditary nonpolyposis, type 4	AD	614337			
